Country,ISO,Total,Coal,Oil,Gas,Cement,Flaring,Other
Afghanistan,AFG,0.296119,0.104828,0.185029,0.005956,0.000306,0.0,
Albania,ALB,1.618066,0.061096,1.137164,0.052631,0.367175,0.0,
Algeria,DZA,3.989977,0.024798,1.268066,2.100412,0.249628,0.347072,
Andorra,AND,5.730292,0.0,5.730292,0.0,0.0,0.0,
Angola,AGO,0.619141,0.0,0.402904,0.085536,0.032568,0.098133,
Anguilla,AIA,9.188354,0.0,9.188354,0.0,0.0,0.0,
Antarctica,ATA,,,,,,,
Antigua and Barbuda,ATG,5.027895,0.0,5.027895,0.0,0.0,0.0,
Argentina,ARG,4.117967,0.106371,1.773737,2.083353,0.10316,0.051346,
Armenia,ARM,2.438591,0.004473,0.355273,1.956629,0.122216,0.0,
Aruba,ABW,8.054722,0.0,8.054722,0.0,0.0,0.0,
Australia,AUS,15.091473,5.823767,5.368438,2.979896,0.108798,0.666359,0.144215
Austria,AUT,7.24333,1.375153,3.526375,1.999475,0.204114,0.012245,0.125968
Azerbaijan,AZE,3.732457,0.000355,1.077332,2.523936,0.106319,0.024515,
Bahamas,BHS,5.850522,0.012448,5.838075,0.0,0.0,0.0,
Bahrain,BHR,26.66372,0.0,2.426313,23.642933,0.420088,0.174386,
Bangladesh,BGD,0.550177,0.087702,0.106622,0.346862,0.008703,0.000288,
Barbados,BRB,4.001781,0.0,3.480605,0.205075,0.250952,0.065149,
Belarus,BLR,6.222741,0.342635,1.773462,3.76403,0.240379,0.000651,0.101584
Belgium,BEL,8.243806,0.948716,3.83822,3.08121,0.22687,0.008737,0.140053
Belize,BLZ,1.72317,0.0,1.711186,0.0,0.0,0.011984,
Benin,BEN,0.596744,0.021878,0.535575,0.009465,0.029825,0.0,
Bermuda,BMU,8.537196,0.0,8.537196,0.0,0.0,0.0,
Bhutan,BTN,1.957702,0.576234,0.797382,0.0,0.584086,0.0,
"Bonaire, Saint Eustatius and Saba",BES,3.871365,0.0,3.871365,0.0,0.0,0.0,
Bosnia and Herzegovina,BIH,4.147523,2.535815,1.350757,0.149283,0.111667,0.0,
Botswana,BWA,2.51115,1.411529,1.099621,0.0,0.0,0.0,
Brazil,BRA,2.281014,0.318346,1.385677,0.35448,0.111013,0.081675,0.029824
British Virgin Islands,VGB,5.093802,0.0,5.093802,0.0,0.0,0.0,
Brunei Darussalam,BRN,23.532003,0.865973,8.708841,13.046933,0.0,0.910255,
Bulgaria,BGR,6.180805,3.028459,1.855755,0.880323,0.154796,0.099366,0.162107
Burkina Faso,BFA,0.257832,0.0,0.219259,0.0,0.038573,0.0,
Burundi,BDI,0.055206,0.003981,0.04891,0.0,0.002315,0.0,
Cambodia,KHM,1.14706,0.283217,0.541405,0.0,0.321008,0.001429,
Canada,CAN,14.300468,1.149576,6.333628,6.169093,0.173626,0.420835,0.053709
Cape Verde,CPV,1.135678,0.0,1.135678,0.0,0.0,0.0,
Central African Republic,CAF,0.041651,0.0,0.041651,0.0,0.0,0.0,
Chad,TCD,0.112919,0.0,0.083864,0.0,0.009473,0.019582,
Chile,CHL,4.383426,1.343286,2.401832,0.595372,0.042339,0.000596,
China,CHN,8.045741,5.579649,1.20159,0.542724,0.598194,0.00328,0.120303
Christmas Island,CXR,,,,,,,
Colombia,COL,1.780076,0.233234,0.969493,0.451441,0.113956,0.011953,
Comoros,COM,0.362904,0.0,0.362904,0.0,0.0,0.0,
Congo,COG,1.279064,0.0,0.347396,0.392831,0.048471,0.490366,
Cook Islands,COK,5.375721,0.0,5.375721,0.0,0.0,0.0,
Costa Rica,CRI,1.517185,0.0,1.374266,0.0,0.142919,0.0,
Côte d'Ivoire,CIV,0.426033,0.0,0.245609,0.17939,0.0,0.001034,
Croatia,HRV,4.359818,0.415163,2.229111,1.308067,0.298746,0.070979,0.037753
Cuba,CUB,1.959542,0.000451,1.700125,0.196253,0.056261,0.006452,
Curaçao,CUW,9.686792,0.0,9.686792,0.0,0.0,0.0,
Cyprus,CYP,6.108741,0.161931,5.221541,0.000177,0.709151,0.0,0.015941
Czech Republic,CZE,9.241807,4.92619,2.210333,1.777341,0.179914,0.005001,0.143028
North Korea,PRK,2.170811,1.942642,0.132663,0.0,0.095506,0.0,
Democratic Republic of the Congo,COD,0.027183,0.0,0.022479,0.0,0.004704,0.0,
Denmark,DNK,5.052228,0.747621,3.188446,0.816214,0.209584,0.021568,0.068796
Djibouti,DJI,0.342974,0.0,0.272875,0.0,0.070099,0.0,
Dominica,DMA,2.189268,0.0,2.189268,0.0,0.0,0.0,
Dominican Republic,DOM,2.601405,0.406918,1.730294,0.26892,0.195274,0.0,
Ecuador,ECU,2.321741,0.0,1.994683,0.057668,0.138915,0.130475,
Egypt,EGY,2.284635,0.057004,0.88788,1.156058,0.147861,0.035831,
El Salvador,SLV,1.140987,0.000713,1.067824,0.0,0.072451,0.0,
Equatorial Guinea,GNQ,3.196633,0.0,0.684107,2.219633,0.0,0.292893,
Eritrea,ERI,0.226666,0.0,0.196696,0.0,0.029969,0.0,
Estonia,EST,7.864087,4.682493,2.428487,0.688327,0.015144,2.1e-05,0.049616
Ethiopia,ETH,0.147922,0.010513,0.104873,0.0,0.032537,0.0,
Faeroe Islands,FRO,13.203997,0.0,13.203997,0.0,0.0,0.0,
Micronesia (Federated States of),FSM,1.405118,0.0,1.405118,0.0,0.0,0.0,
Fiji,FJI,1.590295,0.0,1.590295,0.0,0.0,0.0,
Finland,FIN,6.792338,2.22024,3.581235,0.770695,0.102902,0.013685,0.10358
Panama Canal Zone,PCZ,,,,,,,
France,FRA,4.741312,0.4475,2.785402,1.326183,0.092889,0.033295,0.056044
French Equatorial Africa,,,,,,,,
French Guiana,GUF,2.189895,0.0,2.189895,0.0,0.0,0.0,
French Polynesia,PYF,3.124014,0.0,3.124014,0.0,0.0,0.0,
French West Africa,,,,,,,,
Gabon,GAB,2.44,0.0,0.798612,0.477242,0.089376,1.07477,
Gambia,GMB,0.248379,0.0,0.248379,0.0,0.0,0.0,
Georgia,GEO,2.929711,0.140289,0.900633,1.606986,0.281184,0.00062,
Germany,DEU,8.089741,2.760161,2.975721,2.079931,0.158664,0.02167,0.093593
Ghana,GHA,0.649127,0.0,0.399414,0.144707,0.070694,0.034312,
Greece,GRC,5.390839,0.935858,2.96915,1.163427,0.285082,0.000495,0.036827
Greenland,GRL,9.079509,0.0,9.079509,0.0,0.0,0.0,
Grenada,GRD,2.56167,0.0,2.56167,0.0,0.0,0.0,
Guadeloupe,GLP,5.78478,1.058653,4.726128,0.0,0.0,0.0,
Guatemala,GTM,1.154393,0.314538,0.756146,0.0,0.07838,0.005329,
Guinea,GIN,0.357805,0.0,0.357805,0.0,0.0,0.0,
Guinea-Bissau,GNB,0.170736,0.0,0.170736,0.0,0.0,0.0,
Guyana,GUY,3.837874,0.0,3.329849,0.0,0.200941,0.307084,
Haiti,HTI,0.251226,0.0,0.244452,0.0,0.006773,0.0,
Honduras,HND,1.060269,0.0,0.984147,0.0,0.076122,0.0,
Hong Kong,HKG,4.224972,1.845824,0.998571,1.299107,0.08147,0.0,
Hungary,HUN,4.990287,0.658229,1.892456,2.277324,0.095655,0.016692,0.049931
Iceland,ISL,9.113272,1.802619,6.821205,0.000541,,0.472201,0.016706
India,IND,1.925088,1.280448,0.442003,0.09481,0.105858,0.001969,
Indonesia,IDN,2.262175,1.107397,0.768025,0.270637,0.10461,0.011504,
Iraq,IRQ,4.262931,0.0,2.683748,0.690132,0.120342,0.768708,
Ireland,IRL,7.528353,1.261978,3.697733,2.105999,0.354884,6.7e-05,0.107691
Iran,IRN,8.517397,0.042423,2.535864,5.311369,0.256188,0.371554,
Israel,ISR,6.126761,1.57791,2.203413,2.185248,0.160057,0.000133,
Italy,ITA,5.548371,0.405125,2.393763,2.548195,0.119162,0.03566,0.046466
Jamaica,JAM,2.719439,0.131081,2.243742,0.202368,0.142247,0.0,
Japan,JPN,8.565739,3.360982,3.17271,1.777711,0.190903,0.002765,0.060669
Jordan,JOR,2.295755,0.048664,1.352621,0.736172,0.15821,8.8e-05,
Kazakhstan,KAZ,14.413251,9.419363,2.227889,1.457571,0.231717,0.877448,0.199262
Kenya,KEN,0.374968,0.032122,0.275241,0.0,0.067605,0.0,
Kiribati,KIR,0.555062,0.0,0.555062,0.0,0.0,0.0,
Kosovo,KSV,3.396106,1.935442,1.268866,0.0,0.191797,0.0,
Kuwait,KWT,24.972098,0.0,12.643539,11.721402,0.287619,0.319538,
Kuwaiti Oil Fires,,,,,,,,
Kyrgyzstan,KGZ,1.425929,0.551421,0.648636,0.105982,0.119891,0.0,
Laos,LAO,2.798295,2.03418,0.488123,0.0,0.275992,0.0,
Latvia,LVA,3.87755,0.073149,2.260398,1.21184,0.293946,6e-06,0.038211
Lebanon,LBN,4.462819,0.077514,4.0038,0.0,0.381504,0.0,
Leeward Islands,,,,,,,,
Lesotho,LSO,1.000312,0.693505,0.306806,0.0,0.0,0.0,
Liberia,LBR,0.230149,0.0,0.204781,0.0,0.025368,0.0,
Libya,LBY,11.064887,0.0,6.581704,2.567193,0.241634,1.674357,
Liechtenstein,LIE,3.866656,0.0,2.443113,1.423536,0.0,6e-06,0.0
Lithuania,LTU,4.981189,0.262508,3.006061,1.436983,0.199768,0.065172,0.010698
Luxembourg,LUX,13.067857,0.327207,9.581352,2.457908,0.624318,5.8e-05,0.077015
Macao,MAC,1.874101,0.0,1.51066,0.363442,,0.0,
North Macedonia,MKD,3.257478,1.13805,1.608522,0.343675,0.167232,0.0,
Madagascar,MDG,0.146784,0.050775,0.092927,0.0,0.003082,0.0,
Malawi,MWI,0.07804,0.011401,0.061905,0.0,0.004734,0.0,
Malaysia,MYS,7.626434,2.555403,2.117796,2.44245,0.398683,0.112102,
Maldives,MDV,4.06203,0.0,4.06203,0.0,0.0,0.0,
Mali,MLI,0.190357,0.0,0.172667,0.0,0.01769,0.0,
Malta,MLT,3.273205,0.0,1.671925,1.600917,0.0,0.0,0.000362
Marshall Islands,MHL,3.780319,0.0,3.780319,0.0,0.0,0.0,
