id,Longitude,Latitude,severity,n_vehicles,year
200901BS70001,-0.201349,51.512273,2,2,2009
200901BS70002,-0.199248,51.514399,2,2,2009
200901BS70003,-0.179599,51.486668,3,2,2009
200901BS70004,-0.20311,51.507804,2,2,2009
200901BS70005,-0.173445,51.482076,2,2,2009
200901BS70006,-0.185525,51.493415,3,2,2009
200901BS70007,-0.178561,51.480177,2,2,2009
200901BS70008,-0.178524,51.491957,3,1,2009
200901BS70009,-0.167395,51.49646,3,1,2009
200901BS70010,-0.183275,51.48115,3,1,2009
200901BS70011,-0.173445,51.482076,3,2,2009
200901BS70012,-0.183013,51.494995,3,1,2009
200901BS70015,-0.206779,51.498778,3,2,2009
200901BS70016,-0.209082,51.506187,3,2,2009
200901BS70017,-0.169548,51.493077,3,2,2009
200901BS70019,-0.173445,51.482076,2,2,2009
200901BS70020,-0.169724,51.488673,3,2,2009
200901BS70021,-0.186108,51.482363,3,1,2009
200901BS70023,-0.176861,51.49391,3,2,2009
200901BS70024,-0.194837,51.509296,3,1,2009
200901BS70025,-0.188919,51.50228,3,1,2009
200901BS70026,-0.194905,51.507588,3,1,2009
200901BS70027,-0.193063,51.488585,2,2,2009
200901BS70028,-0.217295,51.528344,3,2,2009
200901BS70030,-0.164404,51.499201,3,2,2009
200901BS70031,-0.204042,51.517081,2,1,2009
200901BS70032,-0.190148,51.48944,3,1,2009
200901BS70033,-0.158397,51.494521,3,2,2009
200901BS70035,-0.203799,51.508624,3,2,2009
200901BS70036,-0.18014,51.491173,3,2,2009
200901BS70037,-0.202731,51.495478,3,1,2009
200901BS70039,-0.173622,51.495658,2,2,2009
200901BS70040,-0.163518,51.499727,3,2,2009
200901BS70041,-0.202966,51.507802,3,2,2009
200901BS70042,-0.197156,51.508972,3,1,2009
200901BS70043,-0.204201,51.513036,3,1,2009
200901BS70044,-0.206531,51.512443,3,2,2009
200901BS70045,-0.192787,51.491908,2,1,2009
200901BS70047,-0.202351,51.497811,3,2,2009
200901BS70049,-0.171549,51.486273,3,2,2009
200901BS70050,-0.193879,51.500738,3,1,2009
200901BS70051,-0.1599,51.50012,3,2,2009
200901BS70052,-0.192924,51.49209,3,1,2009
200901BS70053,-0.160698,51.49105,3,2,2009
200901BS70054,-0.215914,51.504672,3,2,2009
200901BS70055,-0.204031,51.506379,3,2,2009
200901BS70056,-0.178417,51.480175,3,2,2009
200901BS70057,-0.159225,51.491836,2,1,2009
200901BS70058,-0.209678,51.516717,3,1,2009
200901BS70060,-0.193146,51.490115,3,2,2009
