Date,Region,Magnitude,Depth,Latitude,Longitude
05/11/2023,"Hindu Kush Region,Afghanistan",4.5,80,36.62,67.78
23/03/2023,18 Km NW of Bhalwal,4.2,6,32.35,72.74
26/11/2023,Tajikistan,4.3,140,37.5,72.23
10/06/2023,Afghanistan-Tajikistan Border Region,3.9,110,36.17,71.29
19/12/2023,Afghanistan-Tajikistan Border Region,3.7,105,36.58,71.01
23/02/2023,Tajikistan,4.7,141,38.19,72.96
22/03/2023,Tajikistan,4.0,140,37.42,72.14
01/09/2023,Tajikistan-Xinjiang Border Region,4.6,104,38.7,73.31
30/04/2023,Mayanmar,4.9,116,22.92,94.49
15/12/2023,Tajikistan-Xinjiang Border Region,3.9,170,38.38,74.45
03/09/2023,Afghanistan-Tajikistan Border Region.,5.0,120,36.59,71.63
22/03/2023,"Hindu Kush Region,Afghanistan",3.9,110,36.56,70.98
01/04/2023,Nepal,4.5,10,28.08,85.96
07/11/2023,Solomon Island,5.2,63,-8.2,160.96
10/08/2023,"Hindu Kush Region,Afghanistan",3.2,97,36.22,69.42
29/03/2023,Afghanistan-Tajikistan Border Region,3.5,157,36.82,71.34
07/10/2023,"Eastern New Guinea Region, P.N.G",4.8,139,-5.75,146.09
12/11/2023,"New Ireland Region, P.N.G",5.0,10,-3.88,150.76
26/10/2023,West of  Macquarie  Island,5.6,5,-58.88,148.92
14/10/2023,"Southeast of Honshu, Japan",4.6,48,30.71,141.83
11/05/2023,Afghanistan-Tajikistan Border Region,4.2,171,36.51,71.05
09/03/2023,"Hindu Kush Region,Afghanistan",3.6,122,36.55,70.17
23/10/2023,Taiwan Region,5.6,10,24.21,122.62
02/12/2023,Near Coast of Northern Chile,5.4,44,-24.52,-70.32
10/06/2023,Afghanistan-Tajikistan Border Region,4.0,206,36.5,71.26
17/10/2023,Southern Iran,5.5,30,27.67,56.14
13/05/2023,Southeastern Afghanistan,3.7,150,34.12,68.62
01/11/2023,Tajikistan-Xinjiang Border Region,4.5,45,37.27,74.85
21/10/2023,"Hindu Kush Region,Afghanistan",2.7,130,36.51,70.97
16/10/2023,"Hindu Kush Region,Afghanistan",3.3,120,36.63,70.93
10/11/2023,Iran-Iraq Border Region,4.8,2,32.85,47.66
05/08/2023,8km SothWest of Batgram,5.5,22,34.62,72.97
23/03/2023,Turkey,5.2,10,37.99,36.25
07/11/2023,"New Britain Region, P.N.G.",5.0,123,-4.42,152.95
07/08/2023,Afghanistan-Tajikistan Border Region,4.8,130,36.64,71.55
20/06/2023,"Hindu Kush Region,Afghanistan",3.9,150,36.02,70.6
04/07/2023,"Hindu Kush Region,Afghanistan",3.9,120,36.62,70.53
04/10/2023,Vanuatu Islands,5.4,85,-20.66,169.47
15/04/2023,South of Indian Ocean,4.9,10,34.03,56.47
13/04/2023,Afghanistan-Tajikistan Border Region,3.7,75,36.68,71.48
30/09/2023,Afghanistan-Tajikistan Border Region,4.5,198,36.71,71.26
29/05/2023,"Hindu Kush Region,Afghanistan",4.4,185,35.36,69.16
28/10/2023,Solomon Islands,5.6,10,-10.22,161.16
18/10/2023,Turkey,4.4,157,37.42,27.44
