country,date,consumer confidence,interest rates,unemployment rate
australia,2020-01-01,93.4,0.75,5.2
australia,2020-02-01,95.5,0.75,5.1
australia,2020-03-01,91.9,0.5,5.2
australia,2020-04-01,75.6,0.25,6.3
australia,2020-05-01,88.1,0.25,7.0
australia,2020-06-01,93.7,0.25,7.4
australia,2020-07-01,87.9,0.25,7.5
australia,2020-08-01,79.5,0.25,6.8
australia,2020-09-01,93.9,0.25,6.9
australia,2020-10-01,105.0,0.25,7.0
australia,2020-11-01,107.7,0.1,6.8
australia,2020-12-01,112.0,0.1,6.5
australia,2021-01-01,107.0,0.1,6.3
australia,2021-02-01,109.1,0.1,5.8
australia,2021-03-01,111.8,0.1,5.7
australia,2021-04-01,118.8,0.1,5.5
australia,2021-05-01,113.1,0.1,5.1
australia,2021-06-01,107.2,0.1,5.0
australia,2021-07-01,108.9,0.1,4.8
australia,2021-08-01,104.1,0.1,4.6
australia,2021-09-01,106.2,0.1,4.7
australia,2021-10-01,104.6,0.1,5.3
australia,2021-11-01,105.3,0.1,4.6
australia,2021-12-01,104.3,0.1,4.2
australia,2022-01-01,102.2,0.1,4.2
australia,2022-02-01,100.8,0.1,4.0
australia,2022-03-01,96.6,0.1,4.0
australia,2022-04-01,95.8,0.1,3.9
australia,2022-05-01,90.4,0.35,4.0
australia,2022-06-01,86.4,0.85,3.6
australia,2022-07-01,83.8,1.35,3.5
australia,2022-08-01,81.2,1.85,3.6
australia,2022-09-01,84.5,2.35,3.6
australia,2022-10-01,83.7,2.6,3.5
australia,2022-11-01,78.0,2.85,3.5
australia,2022-12-01,80.3,3.1,3.5
australia,2023-01-01,84.3,3.1,3.6
australia,2023-02-01,78.5,3.35,3.6
australia,2023-03-01,78.5,3.6,3.6
australia,2023-04-01,85.8,3.6,3.7
australia,2023-05-01,79.0,3.85,3.6
australia,2023-06-01,79.2,4.1,3.5
australia,2023-07-01,81.3,4.1,3.8
australia,2023-08-01,81.0,4.1,3.7
australia,2023-09-01,79.7,4.1,3.6
australia,2023-10-01,82.0,4.1,3.8
australia,2023-11-01,79.9,4.35,3.9
australia,2023-12-01,82.1,4.35,3.9
canada,2020-01-01,51.5,1.75,5.5
canada,2020-02-01,53.97,1.75,5.7
canada,2020-03-01,53.03,1.25,7.8
canada,2020-04-01,35.6,0.75,13.0
canada,2020-05-01,38.45,0.25,13.7
canada,2020-06-01,42.33,0.25,12.3
canada,2020-07-01,44.09,0.25,10.9
canada,2020-08-01,43.96,0.25,10.2
canada,2020-09-01,45.35,0.25,9.0
canada,2020-10-01,42.08,0.25,8.9
canada,2020-11-01,44.5,0.25,8.5
canada,2020-12-01,45.25,0.25,8.8
canada,2021-01-01,47.98,0.25,9.4
canada,2021-02-01,46.34,0.25,8.2
canada,2021-03-01,50.25,0.25,7.5
canada,2021-04-01,52.41,0.25,8.1
canada,2021-05-01,48.63,0.25,8.2
canada,2021-06-01,51.49,0.25,7.8
canada,2021-07-01,55.7,0.25,7.5
canada,2021-08-01,55.01,0.25,7.1
canada,2021-09-01,52.98,0.25,6.9
canada,2021-10-01,55.37,0.25,6.7
canada,2021-11-01,54.09,0.25,6.0
canada,2021-12-01,52.28,0.25,6.0
canada,2022-01-01,51.51,0.25,6.5
canada,2022-02-01,51.41,0.25,5.5
canada,2022-03-01,49.09,0.25,5.3
canada,2022-04-01,49.98,0.25,5.2
canada,2022-05-01,52.23,0.5,5.1
canada,2022-06-01,50.42,1.0,4.9
canada,2022-07-01,50.35,1.0,4.9
canada,2022-08-01,50.32,1.5,5.4
canada,2022-09-01,50.14,2.5,5.2
canada,2022-10-01,48.51,2.5,5.2
canada,2022-11-01,46.62,3.25,5.1
canada,2022-12-01,49.34,3.75,5.0
canada,2023-01-01,48.81,3.75,5.0
canada,2023-02-01,47.49,4.25,5.0
canada,2023-03-01,47.28,4.5,5.0
canada,2023-04-01,49.24,4.5,5.0
canada,2023-05-01,49.54,4.5,5.2
canada,2023-06-01,51.43,4.5,5.4
canada,2023-07-01,49.55,4.5,5.5
canada,2023-08-01,46.9,4.75,5.5
canada,2023-09-01,47.66,5.0,5.5
canada,2023-10-01,45.56,5.0,5.7
canada,2023-11-01,47.26,5.0,5.8
canada,2023-12-01,46.57,5.0,5.8
china,2020-01-01,126.4,4.15,5.3
china,2020-02-01,118.9,4.15,6.2
china,2020-03-01,122.2,4.05,5.9
china,2020-04-01,116.4,4.05,6.0
china,2020-05-01,115.8,3.85,5.9
china,2020-06-01,112.6,3.85,5.7
china,2020-07-01,117.2,3.85,5.7
china,2020-08-01,116.4,3.85,5.6
china,2020-09-01,120.5,3.85,5.4
china,2020-10-01,121.7,3.85,5.3
china,2020-11-01,124.0,3.85,5.2
china,2020-12-01,122.1,3.85,5.2
china,2021-01-01,122.8,3.85,5.4
china,2021-02-01,127.0,3.85,5.5
china,2021-03-01,122.2,3.85,5.3
china,2021-04-01,121.5,3.85,5.1
china,2021-05-01,121.8,3.85,5.0
china,2021-06-01,122.8,3.85,5.0
china,2021-07-01,117.8,3.85,5.1
china,2021-08-01,117.5,3.85,5.1
china,2021-09-01,121.2,3.8,4.9
china,2021-10-01,121.5,3.8,4.9
