Year,Drought,Earthquake,Extreme temperature,Extreme weather,Flood,Volcanic activity,Wet mass movement,Wildfire
1960,1.0,8.0,14.0,20.0,8.0,1.0,2.0,2.0
1961,1.0,3.0,1.0,14.0,9.0,5.5,2.0,2.0
1962,1.0,4.0,1.0,13.0,8.0,5.0,2.0,2.0
1963,1.0,3.0,2.0,21.0,8.0,3.0,2.0,2.0
1964,8.0,7.0,14.5,22.0,22.0,1.0,1.0,1.0
1965,7.0,8.0,1.0,19.0,19.0,1.0,6.0,1.0
1966,10.0,13.0,2.0,27.0,23.0,2.0,4.0,1.0
1967,8.0,15.0,20.0,25.0,26.0,14.0,2.0,1.0
1968,9.0,16.0,2.0,25.0,20.0,2.0,4.0,2.0
1969,12.0,11.0,18.0,25.0,14.0,2.0,1.0,1.0
1970,9.0,12.0,18.0,24.0,31.0,18.5,6.0,1.0
1971,14.0,6.0,1.0,22.0,15.0,3.0,6.0,6.0
1972,14.0,7.0,2.0,26.0,15.0,10.0,5.0,5.0
1973,15.0,8.0,3.0,22.0,20.0,1.0,5.0,2.0
1974,13.0,6.0,17.0,28.0,18.0,14.0,10.0,10.0
1975,12.0,5.0,3.0,25.0,17.0,3.0,5.0,5.0
1976,9.0,21.0,25.5,30.0,16.0,5.0,6.0,1.0
1977,20.0,14.0,1.0,29.0,47.0,5.0,3.0,1.0
1978,15.0,9.0,1.0,38.0,47.0,2.0,2.0,1.0
1979,14.0,22.0,4.0,30.0,34.0,4.0,7.0,1.0
1980,11.0,17.0,3.0,36.0,39.0,2.0,4.0,1.0
1981,23.0,15.0,2.0,47.0,41.0,1.0,8.0,2.0
1982,15.0,15.0,3.0,51.0,48.0,3.0,12.0,2.0
1983,28.5,26.0,2.0,55.0,49.0,7.0,16.0,11.0
1984,30.0,13.0,1.0,54.0,46.0,7.0,6.0,7.0
1985,11.0,17.0,8.0,49.0,57.0,2.0,6.0,12.0
1986,6.0,21.0,2.0,53.0,49.0,2.0,9.0,5.0
1987,8.5,15.0,5.0,57.0,66.0,2.0,14.0,7.0
1988,12.0,15.0,6.0,60.0,75.0,4.0,15.0,15.0
1989,6.0,19.0,5.0,72.0,46.0,1.0,15.0,2.0
1990,9.0,41.0,13.0,135.0,60.0,2.0,5.0,4.0
1991,15.0,29.0,8.0,66.0,76.0,10.0,9.0,8.0
1992,15.5,25.0,8.0,76.0,59.0,5.0,8.0,8.0
1993,10.0,20.0,4.0,107.0,84.0,6.0,25.0,2.0
1994,20.0,25.0,9.0,80.0,88.0,6.0,11.0,13.0
1995,14.0,26.0,13.0,80.0,93.0,5.0,16.0,7.0
1996,9.0,13.0,5.0,76.0,95.0,5.0,24.0,4.0
1997,20.0,23.0,13.0,79.0,96.0,4.0,13.0,15.0
1998,29.0,30.0,12.0,89.0,96.0,4.0,22.0,18.0
1999,29.0,33.0,8.0,106.0,123.0,5.0,18.0,21.0
2000,21.5,30.0,30.0,102.0,156.0,5.0,28.0,30.0
2001,42.0,25.0,23.0,105.0,156.0,6.0,24.0,14.0
2002,19.5,37.0,16.0,123.0,173.0,7.0,20.0,23.0
2003,23.0,40.0,27.0,87.0,159.0,2.0,21.0,14.0
2004,10.0,42.0,19.0,124.0,134.0,5.0,16.0,8.0
2005,25.0,25.0,30.0,130.0,191.0,8.0,13.0,13.0
2006,10.5,24.0,33.0,77.0,232.0,12.0,20.0,11.0
2007,12.0,21.0,25.0,104.0,219.0,6.0,10.0,18.0
2008,11.0,23.0,12.0,112.0,174.0,7.0,12.0,5.0
2009,16.0,22.0,27.0,87.0,159.0,3.0,29.0,9.0
2010,28.0,24.0,34.0,94.0,189.0,6.0,33.0,7.0
2011,25.0,30.0,18.0,87.0,160.0,6.0,17.0,8.0
2012,16.0,27.0,52.0,91.0,141.0,1.0,13.0,7.0
2013,8.0,29.0,17.0,105.0,149.0,3.0,11.0,10.0
2014,21.0,26.0,18.0,99.0,139.0,7.0,15.0,4.0
2015,20.0,23.0,14.0,121.0,166.0,7.0,20.0,13.0
2016,32.0,30.0,13.0,86.0,164.0,1.0,13.0,10.0
2017,14.5,22.0,11.0,131.0,129.0,2.0,25.0,15.0
2018,10.5,20.0,27.0,96.0,128.0,9.0,12.0,10.0
2019,28.0,31.0,23.0,92.0,195.0,4.0,26.0,14.0
2020,20.0,16.0,6.0,126.0,206.0,4.0,19.0,10.0
2021,25.0,28.0,3.0,121.0,222.0,9.0,12.0,19.0
2022,40.0,31.0,40.0,109.0,181.0,5.0,17.0,16.0
2023,17.0,32.0,10.0,140.0,166.0,4.0,24.0,16.0
