duration,comments,latitude,longitude,year
630.0,A Bright light that is a UFO,41.1669444,-73.2052778,2012
240.0,Single white light or craft passed over and very close to a commercial jet.  ((NUFORC Note:  Possibly the ISS?  PD)),32.7152778,-117.1563889,2012
120.0,A black unknown craft is seen in the sky over Sterling Hts. Michigan,42.5802778,-83.0302778,2012
900.0,Went to move my car to the other side of the road in the city of syracuse.  saw low flying lights moving east towards dowtown.,43.0480556,-76.1477778,2012
240.0,Bright orange circles going thru the sky in the same direction. Some were closer to each other.,43.0480556,-76.1477778,2012
20.0,Bright zig zagging light in the sky above norad.,38.8338889,-104.8208333,2012
240.0,Orange fiery lighting objects changing locations.,32.9975,-87.63,2012
120.0,4 fireballs in sky side by side,32.3122222,-106.7777778,2012
240.0,I was leaving my friend&#39s house to go home.  My friend and her 3 1/2 year old daughter walked me to her front door when she noticed all,37.7305556,-88.9330556,2012
6.0,POSSIBLE ALIEN/HUMANOID SEEN RUNNING INTO HILLS,37.3394444,-121.8938889,2012
300.0,18 glowing UFOs seen over Phoenix  AZ tonight&#44 10/12/12 8:45PM,33.4483333,-112.0733333,2012
240.0,Noticed light in the N.E. section of the sky about 30 deg. up that did not move. About the size of Venus.  ((NUFORC Note:  Capella?  PD,46.6022222,-120.5047222,2012
1200.0,Spheres of light seen over the west campus area of austin which then broke apart and sped off in different directions.,30.2669444,-97.7427778,2012
180.0,Large cigar shaped flying about 800 feet high.  Huge square engines on back.,36.3436111,-83.2841667,2012
600.0,Fleet of red UFO&#39s emerging from Mt. Rainier.,46.8219444,-123.095,2012
20.0,UFO over Suffern NY,41.1147222,-74.15,2012
5.0,Flying red object over Rancho Mirage&#44 ca,33.7397222,-116.4119444,2012
4.0,Big extremely bright white light hovering in sky,42.2625,-71.8027778,2012
2.0,Huge white streaking object moving high rate of speeds in night sky,42.6105556,-71.2347222,2012
300.0,Moving star and strange man,39.2544444,-76.7002778,2012
720.0,Slow moving bright light,41.2788889,-75.8786111,2012
300.0,Brightly lit object&#44 twice the size of a planet&#44  traversed the night sky&#44 dimmed&#44 and disappeared from view.((NUFORC Note:  ISS? PD)),43.0830556,-73.785,2012
60.0,UFO sighted over Nanticoke PA,41.2052778,-76.0052778,2012
120.0,4 fireballs side by side,32.3122222,-106.7777778,2012
10.0,Driving on kent kangley road I observed a triangle arrangement of lights hovering about 100 feet off the ground.  The lights were multi,47.3525,-121.9825,2012
60.0,About 9:00 pm&#44 Oct. 11&#44 2012&#44 driving home I first heard strange high-pitched siren-like sound&#44 and rolled down my window to hear what,40.155,-74.8291667,2012
30.0,10/11/12  Phoenix&#44 AZ  Sphere  30 sec   Yellowish-orange flashing sphere seen by myself        10/12/12,33.4483333,-112.0733333,2012
45.0,Red circular object surrounded by yellow glow flying w/no sound quickly coming out of east turning southbound,41.6572222,-87.68,2012
300.0,Driving around when me and my friend saw a bright BRIGHT white light from about 2/12 miles away. Started driving towards it it as it ju,29.5819444,-95.7605556,2012
9.0,Falling bright light,38.8338889,-104.8208333,2012
9.0,Flickering color changing lights in SE Phoenix sky.  ((NUFORC Note:  Probably a sighting of a &quot;twinkling&quot; star.  PD)),33.6305556,-112.3325,2012
10.0,Dim lights,27.3361111,-82.5308333,2012
180.0,Orange fireball quickly ascending in sky in West suburbs of Chicago,41.8008333,-87.9369444,2012
180.0,Star looking lights with flashing red&#44 green&#44 and purple lights that just hover around &#33 NOT GOING ANYWHERE&#33  ((Star?)),44.0522222,-123.0855556,2012
900.0,Fireballs in Fontana&#44 CA.,34.0922222,-117.4341667,2012
900.0,Odd lights in formation appering and disappering.,42.7261111,-87.7827778,2012
300.0,Flying object coming out of field. Hovering for 5 mins. Then leaving.,42.7622222,-84.9925,2012
60.0,Bright red torch-like object seen ascending rapidly&#44 making a right angle turn&#44 and disappearing from view in Capitola&#44 CA,36.9752778,-121.9522222,2012
180.0,Very bright it hoverd and then sped off silently and was pulsating in rythem did not varie.,40.8830556,-85.4975,2012
300.0,V shaped and 8 big and very brite lights&#44moving very slow,42.4805556,-83.4755556,2012
30.0,WE SAW 3 SEPARATE SIGHTINGS WITHIN 15 MINS TIME EACH TIME 3 ORANGE FLAME BALLS FLEW IN UNISON THROUGH THE NEIGHBORS TREES AT A FAST PAC,28.6119444,-80.8077778,2012
3.0,Craft zoomed past my windshield.,40.4405556,-79.9961111,2012
300.0,Bright orange circles,40.9747222,-80.4938889,2012
1200.0,Large white/silver spherical object with smaller black object in close proximity over Fort Campbell&#44 KY.,36.5805556,-87.76,2012
120.0,Very huge mass with black figured markings no outer rim,36.5297222,-87.3594444,2012
40.0,Airliner and UFOs.,42.1947222,-122.7083333,2012
60.0,Bright light surrounded by jets.,39.8963889,-80.1794444,2012
600.0,An oval shaped craft emited an intense silver light. The bottom of it had a red/blue streak. Then it very fast left blinking red.,44.9430556,-123.0338889,2012
300.0,Huge fireball in Phoenix turns into two orbs that float and tumble to the ground,33.4483333,-112.0733333,2012
45.0,2 objects with flame trails  making manuevers spirals lights,33.5386111,-112.1852778,2012
60.0,Chevron Shape Bright Object in the Northern Sky,26.6155556,-80.0572222,2012
60.0,Self illuminating rod-chevron shape near West Palm Beach,26.6155556,-80.0572222,2012
300.0,UFO Chasing commercial flight in southern maine&#33&#33,43.5405556,-70.8486111,2012
300.0,Bright ascending light&#44 vanished in a flash,41.4202778,-72.4069444,2012
6.0,Stange Craft seen in  the night sky over Tucson Az.,32.2216667,-110.9258333,2012
